"System Header Row
DO NOT DELETE THIS ROW
OR THIS COLUMN!",field_3675,field_3671,field_3719,field_3720
"{
	""actions"":{
		""validation"":[

		],
		""reconciliation"":{
			""matched_multiple_records"":""skip"",
			""matched_same_record"":""skip""
		}
	},
	""enforce_all_required_fields"":"""",
	""form_history"":""aa4d63b223d74f3333b17bdd16916e38"",
	""form_id"":""159"",
	""form_name"":""**Capital and Operating Expenses"",
	""has_desc"":"""",
	""import_type"":""data"",
	""is_tier1_form"":""1"",
	""link_field_id"":"""",
	""link_field_label"":"""",
	""match_type"":""record_ids"",
	""options"":[

	],
	""record_action"":""update"",
	""secondary_form_history"":"""",
	""secondary_form_id"":""0"",
	""secondary_form_name"":"""",
	""secondary_is_tier1_form"":"""",
	""selected_columns"":[
		""field_3671"",
		""field_3719"",
		""field_3675"",
		""field_3720""
	],
	""skip_headers"":"""",
	""target_match_type"":""""
}",**Capital and Operating Expenses - Record ID,*Investment Category,Placemaking Property,Record Status
16691,16691,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
16692,16692,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
16693,16693,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
16694,16694,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
16695,16695,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
16696,16696,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
16697,16697,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
16698,16698,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
16699,16699,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
16700,16700,Funds to Support the Lending Library,,Active
16701,16701,Local Food Vendor Payments,,Active
16702,16702,Local Food Vendor Payments,,Active
16703,16703,Local Food Vendor Payments,,Active
16704,16704,Local Food Vendor Payments,,Active
16705,16705,Local Food Vendor Payments,,Active
16706,16706,Local Food Vendor Payments,,Active
16707,16707,"Artists Paid for Projects, Performances and Workshops",,Active
16708,16708,"Artists Paid for Projects, Performances and Workshops",,Active
16709,16709,"Artists Paid for Projects, Performances and Workshops",,Active
16710,16710,"Artists Paid for Projects, Performances and Workshops",,Active
16711,16711,"Artists Paid for Projects, Performances and Workshops",,Active
16712,16712,"Artists Paid for Projects, Performances and Workshops",,Active
16713,16713,"Artists Paid for Projects, Performances and Workshops",,Active
16714,16714,"Artists Paid for Projects, Performances and Workshops",,Active
16715,16715,"Artists Paid for Projects, Performances and Workshops",,Active
16716,16716,"Artists Paid for Projects, Performances and Workshops",,Active
16717,16717,"Artists Paid for Projects, Performances and Workshops",,Active
16718,16718,"Artists Paid for Projects, Performances and Workshops",,Active
16719,16719,"Artists Paid for Projects, Performances and Workshops",,Active
16720,16720,"Artists Paid for Projects, Performances and Workshops",,Active
16721,16721,"Artists Paid for Projects, Performances and Workshops",,Active
16722,16722,"Artists Paid for Projects, Performances and Workshops",,Active
16723,16723,"Artists Paid for Projects, Performances and Workshops",,Active
16724,16724,"Artists Paid for Projects, Performances and Workshops",,Active
16725,16725,"Artists Paid for Projects, Performances and Workshops",,Active
16726,16726,"Artists Paid for Projects, Performances and Workshops",,Active
16727,16727,"Artists Paid for Projects, Performances and Workshops",,Active
16728,16728,"Artists Paid for Projects, Performances and Workshops",,Active
16729,16729,"Artists Paid for Projects, Performances and Workshops",,Active
16730,16730,"Artists Paid for Projects, Performances and Workshops",,Active
16731,16731,"Artists Paid for Projects, Performances and Workshops",,Active
16732,16732,"Artists Paid for Projects, Performances and Workshops",,Active
16733,16733,"Artists Paid for Projects, Performances and Workshops",,Active
16734,16734,"Artists Paid for Projects, Performances and Workshops",,Active
16735,16735,"Artists Paid for Projects, Performances and Workshops",,Active
16736,16736,"Artists Paid for Projects, Performances and Workshops",,Active
16737,16737,"Artists Paid for Projects, Performances and Workshops",,Active
16738,16738,"Artists Paid for Projects, Performances and Workshops",,Active
16739,16739,Art O Mat Acquisition and Construction,,Active
16740,16740,Art O Mat Acquisition and Construction,,Active
16741,16741,Art O Mat Acquisition and Construction,,Active
16742,16742,Art O Mat Acquisition and Construction,,Active
16743,16743,Art O Mat Acquisition and Construction,,Active
16744,16744,Art O Mat Acquisition and Construction,,Active
16745,16745,Art O Mat Acquisition and Construction,,Active
16746,16746,Art O Mat Acquisition and Construction,,Active
16747,16747,Art O Mat Acquisition and Construction,,Active
16748,16748,Art O Mat Acquisition and Construction,,Active
16749,16749,Art O Mat Acquisition and Construction,,Active
16750,16750,Art O Mat Acquisition and Construction,,Active
16751,16751,Art O Mat Acquisition and Construction,,Active
16752,16752,Art O Mat Acquisition and Construction,,Active
16753,16753,Art O Mat Acquisition and Construction,,Active
16754,16754,Art O Mat Acquisition and Construction,,Active
16755,16755,Art O Mat Acquisition and Construction,,Active
16756,16756,Art O Mat Acquisition and Construction,,Active
16757,16757,Art O Mat Acquisition and Construction,,Active
16758,16758,Art O Mat Acquisition and Construction,,Active
16759,16759,Art O Mat Acquisition and Construction,,Active
16760,16760,Art O Mat Acquisition and Construction,,Active
16761,16761,Art O Mat Acquisition and Construction,,Active
16762,16762,Art O Mat Acquisition and Construction,,Active
16763,16763,Art O Mat Acquisition and Construction,,Active
16764,16764,Art O Mat Acquisition and Construction,,Active
16765,16765,Art O Mat Acquisition and Construction,,Active
16766,16766,Art O Mat Acquisition and Construction,,Active
16767,16767,Art O Mat Acquisition and Construction,,Active
16768,16768,Art O Mat Acquisition and Construction,,Active
16769,16769,Art O Mat Acquisition and Construction,,Active
16770,16770,Art O Mat Acquisition and Construction,,Active
16771,16771,Art O Mat Acquisition and Construction,,Active
16772,16772,Art O Mat Acquisition and Construction,,Active
16773,16773,Art O Mat Acquisition and Construction,,Active
16774,16774,Art O Mat Acquisition and Construction,,Active
